nombre,nivel,ataque,defensa,estamina,iv_ataque,iv_defensa,iv_estamina,PC
Seel,35.0,85,121,163,5,10,5,774
Cyndaquil,25.0,116,93,118,13,2,14,644
Toxicroak,21.0,211,133,195,5,3,11,1354
Gible,30.5,124,84,151,1,5,8,802
Golbat,10.5,161,150,181,3,5,1,516
Chikorita,28.5,92,122,128,10,1,14,685
Whiscash,8.0,151,141,242,14,7,6,445
Machop,26.0,137,82,172,3,4,9,810
Kabutops,23.5,220,186,155,7,12,11,1725
Luxray,30.0,232,156,190,9,12,9,2359
Feebas,16.5,29,85,85,6,0,12,93
Victreebel,29.5,207,135,190,14,15,13,2030
Bellsprout,7.0,139,61,137,11,1,12,175
Hoothoot,39.0,67,88,155,12,10,5,609
Rayquaza,38.0,284,170,213,6,3,4,3409
Luxio,33.0,159,95,155,12,13,1,1247
Torkoal,15.5,151,203,172,7,13,12,871
Flareon,17.0,246,179,163,3,4,0,1304
Nidoran?,27.0,105,76,130,12,6,7,597
Clamperl,5.5,133,135,111,3,10,8,167
Pidgeotto,36.0,117,105,160,8,3,12,1003
Muk,36.0,190,172,233,4,4,7,2348
Butterfree,18.5,167,137,155,12,15,8,930
Chikorita,4.0,92,122,128,14,9,6,91
Aipom,21.5,136,112,146,12,7,12,778
Chansey,18.5,60,128,487,8,4,5,572
Bronzong,19.5,161,213,167,14,3,15,1207
Cacturne,25.0,221,115,172,9,11,13,1566
Staravia,26.0,142,94,146,14,10,8,916
Giratina,11.5,187,225,284,14,12,0,1070
Poliwrath,30.0,182,184,207,5,15,14,2099
Dialga,18.0,275,211,204,1,1,4,1861
Shuppet,4.0,138,65,127,8,5,5,91
Dewgong,14.0,139,177,207,2,10,6,703
Gallade,5.0,237,195,169,6,7,9,388
Baltoy,43.0,77,124,120,3,1,0,635
Ariados,1.0,161,124,172,11,11,7,23
Volbeat,19.5,143,166,163,13,12,1,927
Grumpig,6.5,171,188,190,2,11,3,381
Pidgeotto,42.0,117,105,160,4,8,8,1067
Walrein,20.0,182,176,242,15,12,1,1502
Tyrogue,31.5,64,64,111,3,6,10,338
Granbull,19.0,212,131,207,11,2,12,1290
Weavile,21.0,243,171,172,4,8,4,1642
Whiscash,1.5,151,141,242,9,8,12,56
Kecleon,3.5,161,189,155,5,14,14,172
Golem,29.5,211,198,190,11,7,13,2384
Masquerain,26.0,192,150,172,6,0,10,1517
Wurmple,31.5,75,59,128,11,11,12,467
Golem,13.5,211,198,190,3,9,5,1035
Girafarig,42.0,182,133,172,12,9,10,1997
Cherrim,32.5,170,153,172,2,3,5,1593
Arcanine,33.0,227,166,207,10,11,14,2634
Swellow,37.0,185,124,155,7,10,11,1711
Starly,33.5,101,58,120,14,14,2,610
Clefable,17.5,178,162,216,5,10,12,1131
Tauros,11.5,198,183,181,3,13,1,779
Cascoon,36.5,60,77,137,13,7,12,484
Dusclops,11.0,124,234,120,6,2,12,450
Raichu,23.0,193,151,155,9,14,4,1342
Octillery,7.0,197,141,181,8,0,8,408
Abomasnow,24.0,178,158,207,6,11,1,1477
Magnemite,27.0,165,121,93,5,0,11,918
Ninjask,18.0,196,112,156,10,14,5,942
Garchomp,25.5,261,193,239,10,13,0,2736
Swalot,12.5,140,159,225,8,9,9,654
Slakoth,18.0,104,92,155,0,14,9,440
Minun,41.0,147,150,155,8,10,5,1568
Whismur,2.5,92,42,162,6,10,14,34
Articuno,11.0,192,236,207,5,15,3,888
Machamp,1.5,234,159,207,9,6,0,82
Alolan,1.0,96,109,116,15,14,6,12
Deoxys,3.0,345,115,137,0,0,10,208
Uxie,20.0,156,270,181,0,6,4,1258
Delibird,22.0,128,90,128,8,7,6,608
Prinplup,14.0,150,139,162,11,6,3,622
Lickilicky,30.0,161,181,242,7,11,12,1986
Drifloon,39.0,117,80,207,7,1,10,1012
Cubone,1.5,90,144,137,6,10,6,26
Mankey,14.5,148,82,120,2,4,14,416
Registeel,19.0,143,285,190,6,13,10,1233
Shuckle,27.0,17,396,85,0,4,15,163
Probopass,28.0,135,275,155,1,1,1,1410
Slowking,4.0,177,180,216,7,14,4,248
Blastoise,2.5,171,207,188,1,5,3,128
Azumarill,15.5,112,152,225,9,15,6,657
Alolan,37.0,201,154,155,4,6,12,2003
Swampert,34.5,208,175,225,15,11,11,2688
Kadabra,17.5,232,117,120,0,13,1,908
Gulpin,36.0,80,99,172,4,6,14,691
Skitty,32.5,84,79,137,0,8,0,511
Huntail,22.5,197,179,146,11,0,15,1417
Snorunt,20.0,95,95,137,4,13,10,445
Nidorino,10.0,137,111,156,7,12,5,361
Latias,14.0,228,246,190,1,1,3,1249
Ditto,23.0,91,91,134,10,13,1,491
Cranidos,8.5,218,71,167,12,0,14,391
Chatot,34.5,183,91,183,6,8,10,1503
Mawile,36.0,155,141,137,14,1,13,1452
Dugtrio,25.5,167,134,111,1,14,14,1039
Smoochum,20.0,153,91,128,15,0,13,679
Glalie,30.0,162,162,190,4,11,1,1615
Omanyte,5.5,155,153,111,8,11,0,206
Victreebel,1.0,207,135,190,3,10,12,31
Phanpy,35.5,107,98,207,0,5,15,945
Kingler,24.0,240,181,146,9,14,5,1829
Spoink,27.0,125,122,155,0,3,14,875
Dustox,36.5,98,162,155,3,5,0,964
Pinsir,34.5,238,182,163,6,9,5,2515
Victreebel,10.0,207,135,190,3,5,15,635
Kingdra,3.0,194,194,181,8,15,10,187
Sudowoodo,4.5,167,176,172,15,8,14,251
Whiscash,32.5,151,141,242,9,1,14,1701
Alolan,21.0,164,164,146,11,1,12,1058
Treecko,13.0,124,94,120,5,5,8,336
Feraligatr,2.5,205,188,198,6,6,13,158
Tyranitar,10.5,251,207,225,12,3,2,1076
Vigoroth,29.5,159,145,190,7,2,14,1513
Mr.,34.5,192,205,120,10,3,13,1933
Marowak,44.0,144,186,155,10,7,7,1787
Sentret,37.5,79,73,111,10,0,9,501
Diglett,6.5,109,78,67,15,13,6,113
Huntail,36.5,197,179,146,6,4,12,2048
Vileplume,27.0,202,167,181,11,12,6,1877
Skiploom,29.5,91,120,146,5,6,4,694
Vigoroth,28.5,159,145,190,8,13,1,1475
Rotom,33.0,185,159,137,9,7,8,1691
Pidgeot,26.0,166,154,195,9,12,3,1472
Walrein,16.5,182,176,242,13,2,13,1223
Slowpoke,29.0,109,98,207,13,6,3,933
Croconaw,11.0,150,142,163,5,9,8,489
Lickilicky,33.5,161,181,242,12,10,4,2124
Rhyhorn,31.0,140,127,190,15,5,12,1377
Glaceon,6.0,238,205,163,11,6,0,476
Magnemite,14.5,165,121,93,13,8,8,525
Ralts,41.0,79,59,99,10,1,7,448
Zangoose,39.0,222,124,177,13,9,14,2305
Mudkip,39.0,126,93,137,5,11,2,969
Gulpin,16.0,80,99,172,10,10,12,363
Prinplup,33.5,150,139,162,9,10,0,1399
Slakoth,21.5,104,92,155,1,11,4,515
Purugly,26.0,172,133,174,12,2,12,1352
Alakazam,33.0,271,167,146,2,15,8,2569
Lanturn,11.5,146,137,268,9,7,8,634
Diglett,10.5,109,78,67,0,0,0,147
Torterra,15.0,202,188,216,1,11,13,1160
Donphan,9.0,214,185,207,9,10,4,722
Eevee,13.0,104,114,146,11,10,12,373
Numel,7.0,119,79,155,10,11,9,191
Azumarill,41.0,112,152,225,10,6,2,1461
Caterpie,7.5,55,55,128,14,1,15,81
Anorith,18.5,176,100,128,7,4,4,707
Espeon,34.0,261,175,163,11,8,1,2690
Pupitar,25.5,155,133,172,4,0,12,1131
Cacnea,36.0,156,74,137,14,2,4,1036
Dodrio,3.0,218,140,155,3,6,5,157
Drowzee,22.0,89,136,155,0,2,8,524
Wartortle,25.0,126,155,153,7,0,2,919
Milotic,18.5,192,219,216,1,12,4,1436
Sandslash,39.5,182,175,181,15,6,4,2235
Nidorino,28.0,137,111,156,6,15,8,1027
Melmetal,16.5,226,190,264,7,0,2,1542
Wailord,16.0,175,87,347,1,9,5,923
Lotad,15.5,71,77,120,15,10,6,249
Heracross,10.0,234,179,190,8,14,3,833
Marowak,31.0,144,186,155,10,7,0,1449
Mismagius,43.0,211,187,155,2,15,0,2444
Aron,11.0,121,141,137,15,15,8,401
Golbat,13.0,161,150,181,15,0,14,698
Dewgong,38.0,139,177,207,12,3,2,1776
Poochyena,2.5,96,61,111,6,13,15,36
Duskull,1.0,70,162,85,6,8,13,8
Swinub,10.5,90,69,137,11,5,13,199
Zigzagoon,13.5,58,80,116,15,15,0,184
Vileplume,2.5,202,167,181,2,8,3,135
Alolan,41.0,125,129,137,6,13,0,1155
Drifblim,6.0,180,102,312,7,3,1,349
Weezing,34.5,174,197,163,1,1,12,1874
Ariados,22.0,161,124,172,2,5,4,964
Zangoose,2.5,222,124,177,9,10,7,134
Gliscor,44.0,185,222,181,2,3,10,2545
Pachirisu,13.0,94,172,155,4,3,8,384
Muk,4.0,190,172,233,12,12,8,278
Cherrim,28.5,170,153,172,1,13,0,1469
Drifloon,20.5,117,80,207,14,10,9,668
Gardevoir,29.0,237,195,169,6,12,2,2366
Scizor,41.0,236,181,172,2,0,12,2747
Victreebel,17.0,207,135,190,9,4,8,1087
Steelix,31.0,148,272,181,2,9,6,1871
Machamp,24.5,234,159,207,13,9,11,2066
Slaking,38.5,290,166,284,10,4,6,4071
Oddish,10.5,131,112,128,6,6,1,316
Scyther,11.5,218,170,172,2,10,5,806
Houndoom,19.5,224,144,181,9,15,12,1420
Electrike,41.0,123,78,120,12,3,2,848
Shinx,36.0,117,64,128,2,8,15,711
Lombre,22.5,112,119,155,9,0,5,670
Tyrogue,20.5,64,64,111,13,15,14,279
Zigzagoon,37.0,58,80,116,11,13,0,428
Magnemite,39.0,165,121,93,13,8,1,1206
Lunatone,26.5,178,153,207,1,4,7,1551
Cradily,29.0,152,194,200,5,12,15,1709
Weedle,20.0,63,50,120,5,13,7,217
Trapinch,14.0,162,78,128,15,3,2,453
Kabuto,15.5,148,140,102,15,0,14,574
Vibrava,13.5,134,99,137,10,0,11,419
Wailmer,27.0,136,68,277,12,6,0,1020
Forretress,31.0,161,205,181,13,0,7,1859
Aerodactyl,18.5,221,159,190,11,10,14,1422
Illumise,12.0,143,166,163,4,6,11,544
Chikorita,44.0,92,122,128,10,15,4,900
Alolan,34.5,144,186,155,13,15,11,1650
Dunsparce,38.0,131,128,225,10,0,3,1461
Venomoth,18.5,179,143,172,0,5,15,983
Magnemite,37.0,165,121,93,11,6,1,1149
Ludicolo,1.0,173,176,190,0,8,9,29
Silcoon,2.0,60,77,137,14,7,12,22
Shaymin,21.5,261,166,225,12,1,7,2061
Jolteon,15.5,232,182,163,12,5,1,1181
Murkrow,38.5,175,87,155,0,0,5,1261
Igglybuff,18.0,69,32,207,13,2,9,225
Raticate,15.5,161,139,146,6,7,7,690
Slaking,26.5,290,166,284,12,2,6,3152
Lairon,10.5,158,198,155,4,10,9,560
Azelf,23.0,270,151,181,8,11,11,2012
Torterra,7.0,202,188,216,14,7,2,543
Tentacool,14.0,97,149,120,8,8,11,376
Doduo,38.5,158,83,111,9,3,3,1010
Vulpix,7.5,96,109,116,13,0,3,163
Nidoran?,2.0,86,89,146,11,1,4,31
Giratina,13.5,225,187,284,14,10,3,1369
Swinub,37.5,90,69,137,4,12,2,600
Mew,36.5,210,210,225,3,12,5,2855
Hoppip,7.5,67,94,111,11,6,11,113
Swellow,27.5,185,124,155,4,12,0,1346
Girafarig,26.0,182,133,172,7,3,5,1360
Poochyena,20.5,96,61,111,13,15,7,377
Ampharos,35.0,211,169,207,12,10,5,2519
Seviper,34.0,196,118,177,11,5,5,1768
Exeggcute,25.5,107,125,155,4,0,9,723
Ninetales,35.0,169,190,177,3,8,0,1867
Venusaur,4.0,198,189,190,15,14,9,279
Mime,8.0,125,142,85,7,1,11,217
Gliscor,18.0,185,222,181,1,10,8,1251
Gastrodon,41.0,169,143,244,9,3,9,2163
Ivysaur,16.0,151,143,155,0,3,9,667
Skiploom,32.0,91,120,146,13,1,12,795
Gliscor,10.5,185,222,181,7,9,1,737
Mareep,28.0,114,79,146,7,14,2,709
Swellow,1.5,185,124,155,4,5,2,49
Alolan,20.5,190,172,233,13,1,4,1503
Suicune,28.5,180,235,225,4,14,10,2263
Totodile,40.0,117,109,137,7,8,12,1022
Manectric,27.0,215,127,172,13,6,1,1666
Celebi,27.0,210,210,225,14,15,4,2449
Stantler,16.0,192,131,177,7,9,6,909
Slugma,15.5,118,71,120,0,8,0,317
Wynaut,23.5,41,86,216,0,14,14,260
Nidoking,12.0,204,156,191,10,15,4,836
Marill,25.5,37,93,172,10,12,10,295
Vulpix,2.0,96,109,116,9,8,1,34
Snubbull,2.0,137,85,155,3,15,6,49
Jolteon,3.5,232,182,163,5,6,14,241
Magcargo,31.0,139,191,137,15,13,13,1466
Dialga,26.5,275,211,204,12,0,13,2904
Omastar,10.0,207,201,172,12,5,10,756
Mothim,1.0,185,98,172,3,10,11,23
Happiny,22.0,25,77,225,8,15,4,188
Starly,35.0,101,58,120,6,2,14,556
Luxray,39.0,232,156,190,12,12,5,2718
Tyranitar,15.5,251,207,225,0,6,15,1569
Bagon,3.5,134,93,128,13,10,0,94
Sandslash,13.5,182,175,181,13,2,1,843
Pelipper,1.5,175,174,155,7,0,9,56
Magmortar,21.0,247,172,181,10,14,0,1767
Registeel,4.5,143,285,190,13,14,9,284
Azumarill,36.5,112,152,225,7,14,3,1373
Psyduck,9.5,122,95,137,2,6,8,253
Baltoy,9.5,77,124,120,13,10,4,196
Mewtwo,17.0,300,182,214,7,1,3,1855
Regice,40.0,179,309,190,0,8,0,2743
Deoxys,18.0,414,46,137,4,3,11,1143
Electabuzz,29.0,198,158,163,1,14,5,1750
Pidgeot,1.5,166,154,195,7,6,0,55
Marshtomp,18.0,156,133,172,5,14,11,848
Alolan,32.0,201,145,111,2,10,13,1556
Bronzong,17.5,161,213,167,0,10,10,998
Furret,44.0,148,125,198,5,1,8,1618
Quilava,7.5,158,126,151,11,2,15,323
Jirachi,15.5,210,210,225,12,14,12,1414
Cacnea,22.0,156,74,137,8,1,1,655
Slugma,34.5,118,71,120,2,6,2,669
Monferno,31.0,158,105,162,12,1,0,1212
Seedot,36.0,71,77,120,10,15,2,505
Slowbro,34.5,177,180,216,15,4,3,2218
Dratini,12.0,119,91,121,2,7,3,285
Altaria,21.5,141,201,181,7,2,5,1103
Haunter,19.0,223,107,128,10,7,1,957
Kricketot,20.5,45,74,114,11,1,11,198
Croconaw,23.5,150,142,163,9,14,7,1085
Omanyte,9.0,155,153,111,4,15,4,352
Azumarill,32.5,112,152,225,8,10,0,1277
Dugtrio,24.5,167,134,111,6,4,9,973
Weepinbell,39.0,172,92,163,4,12,4,1427
Kakuna,26.5,46,75,128,4,13,1,251
Granbull,13.0,212,131,207,8,0,15,870
Politoed,4.5,174,179,207,2,13,13,270
Meditite,36.0,78,107,102,14,13,3,608
Torchic,6.5,130,87,128,8,7,9,176
Mawile,9.5,155,141,137,11,1,0,391
Skarmory,30.0,148,226,163,0,0,5,1543
Metang,30.5,138,176,155,11,4,15,1407
Meganium,1.0,168,202,190,15,14,2,32
Combusken,29.5,163,115,155,2,3,14,1226
Hariyama,35.0,209,114,302,6,2,5,2353
Shedinja,37.0,153,73,1,14,2,8,259
Jirachi,11.5,210,210,225,3,9,3,976
Umbreon,24.0,126,240,216,8,9,7,1352
Registeel,7.0,143,285,190,4,12,4,430
Ninjask,40.0,196,112,156,6,4,8,1740
Golduck,4.5,191,162,190,14,10,13,286
Venonat,5.5,100,100,155,9,8,11,136
Kingdra,43.0,194,194,181,2,5,0,2412
Sharpedo,41.0,243,83,172,13,7,9,2066
Shedinja,33.5,153,73,1,13,11,11,298
Vulpix,34.5,96,109,116,7,9,14,734
Elekid,6.5,135,101,128,11,12,15,208
Meltan,43.0,118,130,130,4,6,14,1107
Stantler,7.5,192,131,177,7,15,3,423
Furret,28.0,148,125,198,1,8,11,1241
Jigglypuff,8.0,80,41,251,12,12,11,152
Volbeat,34.0,143,166,163,3,0,6,1396
Gligar,36.5,143,184,163,14,13,6,1699
Porygon,1.0,153,136,163,12,4,6,22
Heatran,34.0,251,213,209,9,15,0,3241
Poochyena,29.5,96,61,111,7,1,15,479
Dunsparce,25.5,131,128,225,9,7,13,1141
Dusclops,1.0,124,234,120,12,3,0,20
Cresselia,15.0,152,258,260,11,6,9,1162
Weezing,4.0,174,197,163,1,7,9,214
Kabutops,20.0,220,186,155,6,7,1,1399
Gyarados,33.0,237,186,216,2,8,9,2806
Kingdra,27.5,194,194,181,11,9,13,1996
Manaphy,9.0,210,210,225,1,13,13,776
Treecko,29.0,124,94,120,4,5,6,739
Prinplup,4.0,150,139,162,8,10,0,160
Skarmory,7.0,148,226,163,6,12,14,385
Loudred,6.5,134,81,197,2,8,6,205
Chikorita,36.5,92,122,128,0,0,4,692
Shinx,6.5,117,64,128,3,7,7,132
Poliwhirl,25.5,130,123,163,3,7,3,889
Machop,35.5,137,82,172,15,13,13,1177
Torchic,41.0,130,87,128,15,0,1,971
Krabby,37.5,181,124,102,7,5,7,1342
Grotle,11.0,157,143,181,10,3,15,554
Articuno,3.0,192,236,207,5,4,4,206
Quagsire,16.5,152,143,216,13,5,12,892
Larvitar,25.0,115,93,137,0,13,10,640
Ninetales,38.0,169,190,177,2,10,12,2017
Dusclops,36.0,124,234,120,9,6,6,1362
Altaria,27.5,141,201,181,9,3,13,1464
Blaziken,34.0,240,141,190,12,8,0,2421
Froslass,39.0,171,150,172,7,10,9,1864
Shieldon,11.5,76,195,102,10,8,14,270
Gliscor,34.5,185,222,181,14,13,8,2413
Starly,10.5,101,58,120,12,13,4,198
Shieldon,19.0,76,195,102,7,6,9,420
Delcatty,37.0,132,127,172,4,5,0,1225
Omastar,13.0,207,201,172,5,8,11,961
Chansey,22.0,60,128,487,0,0,9,593
Bellossom,22.0,169,186,181,5,8,12,1321
Poochyena,43.0,96,61,111,2,3,5,547
Sneasel,29.0,189,146,146,14,1,5,1565
Larvitar,22.0,115,93,137,6,13,0,572
Wobbuffet,2.5,60,106,382,10,6,1,53
Sealeo,37.5,137,132,207,5,5,2,1447
Elekid,5.5,135,101,128,2,15,0,156
Golem,13.5,211,198,190,12,6,9,1082
Ledian,40.0,107,179,146,4,0,5,1139
Slowbro,15.5,177,180,216,5,10,4,1029
Cherrim,37.5,170,153,172,13,8,12,1897
Growlithe,2.0,136,93,146,12,8,14,52
Graveler,31.5,164,164,146,6,1,11,1501
Clefable,10.5,178,162,216,9,14,11,700
Kyogre,44.0,270,228,205,7,15,13,4186
Psyduck,25.0,122,95,137,7,6,3,684
Riolu,13.0,127,78,120,14,13,15,362
Linoone,38.5,142,128,186,5,4,9,1441
Alolan,30.0,132,132,120,2,14,1,953
Shaymin,14.5,210,210,225,1,5,15,1240
Heatran,3.5,251,213,209,1,13,2,307
Sudowoodo,14.5,167,176,172,13,14,9,863
Torterra,8.0,202,188,216,13,5,5,625
Kricketot,3.0,45,74,114,10,15,14,27
Illumise,18.5,143,166,163,11,15,15,912
Machamp,44.0,234,159,207,3,9,4,2929
Happiny,37.0,25,77,225,0,5,10,207
Skiploom,16.0,91,120,146,15,0,0,400
Ampharos,23.5,211,169,207,11,13,5,1828
Alolan,34.0,109,82,67,9,15,8,574
Alolan,39.5,144,186,155,7,15,4,1673
Magnezone,37.5,238,205,172,10,12,10,2968
Dustox,25.5,98,162,155,6,10,14,806
Fearow,27.0,182,133,163,4,10,13,1421
Stantler,38.5,192,131,177,13,2,6,1954
Cherubi,24.5,108,92,128,8,5,3,571
Alolan,43.0,201,154,155,12,1,3,2161
Hariyama,2.0,209,114,302,8,2,1,112
Lumineon,9.0,142,170,170,4,5,7,410
Zigzagoon,12.5,58,80,116,14,10,6,168
Gligar,43.0,143,184,163,11,4,11,1806
Onix,34.5,85,232,111,5,8,12,889
Spiritomb,35.5,169,199,137,3,12,2,1721
Rattata,25.0,103,70,102,10,12,12,487
Bibarel,24.5,162,119,188,0,6,1,1088
Venomoth,9.5,179,143,172,9,8,6,521
Wingull,25.5,106,61,120,9,3,15,486
Porygon-Z,39.5,264,150,198,1,4,4,2898
Scyther,14.0,218,170,172,0,5,2,950
Jigglypuff,25.5,80,41,251,13,15,5,506
Suicune,10.5,180,235,225,10,12,13,863
Dragonair,15.5,163,135,156,12,1,8,722
Glaceon,6.5,238,205,163,3,12,13,529
Quilava,17.5,158,126,151,7,12,4,753
Omastar,7.0,207,201,172,7,4,15,510
Heatran,35.0,251,213,209,13,6,11,3360
Roselia,8.0,186,131,137,11,8,7,392
Elekid,22.5,135,101,128,2,14,12,697
Masquerain,31.0,192,150,172,6,3,8,1788
Krabby,29.0,181,124,102,0,12,5,1130
Silcoon,27.5,60,77,137,4,14,8,360
Mudkip,23.0,126,93,137,2,6,9,631
Gardevoir,2.0,237,195,169,6,15,3,127
Tangrowth,6.5,207,184,225,9,3,7,506
Abra,16.0,195,82,93,6,6,1,521
Ho-Oh,8.5,239,244,214,1,6,15,862
Blaziken,5.5,240,141,190,11,12,13,414
Trapinch,22.0,162,78,128,14,9,15,770
Rhyperior,43.0,241,190,251,10,10,3,3668
Flygon,3.5,205,168,190,4,9,6,217
Krabby,37.5,181,124,102,12,3,11,1392
Banette,31.5,218,126,162,5,1,14,1829
Budew,18.0,91,109,120,0,2,2,340
Huntail,3.0,197,179,146,3,11,11,160
Quagsire,32.5,152,143,216,12,3,0,1624
Wingull,12.5,106,61,120,5,11,13,242
Ninjask,21.0,196,112,156,4,13,9,1076
Lickilicky,29.0,161,181,242,9,10,10,1930
Raichu,20.0,193,151,155,15,6,3,1169
Carnivine,5.5,187,136,179,12,2,9,300
Skorupi,36.0,93,151,120,9,1,13,854
Scizor,29.0,236,181,172,14,15,9,2436
Slowking,9.5,177,180,216,7,10,8,641
Alolan,18.5,132,132,120,11,6,6,622
Happiny,15.5,25,77,225,14,3,2,145
Illumise,12.0,143,166,163,11,9,0,557
Groudon,27.5,270,228,205,5,5,4,2978
Electabuzz,2.5,198,158,163,4,9,4,125
Swinub,19.0,90,69,137,8,2,15,345
Cacturne,25.0,221,115,172,9,13,7,1553
Sneasel,26.0,189,146,146,5,12,3,1381
Feraligatr,25.5,205,188,198,12,6,12,1993
Hippowdon,10.5,201,191,239,5,8,11,861
Kirlia,41.0,117,90,116,6,8,0,829
Blastoise,28.5,171,207,188,9,15,8,1909
Koffing,25.5,119,141,120,6,10,4,778
Bellossom,31.0,169,186,181,13,3,3,1847
Flareon,35.0,246,179,163,12,11,1,2641
Roselia,32.5,186,131,137,2,7,7,1477
Illumise,30.0,143,166,163,15,2,12,1450
Azurill,36.0,36,71,137,1,8,5,230
Gallade,24.0,237,195,169,14,6,11,2044
Wobbuffet,22.5,60,106,382,11,4,3,586
Skarmory,4.5,148,226,163,0,4,13,222
Trapinch,34.5,162,78,128,14,8,1,1066
Qwilfish,11.0,184,138,163,13,4,4,595
Bellsprout,5.5,139,61,137,11,7,4,137
Noctowl,39.5,145,156,225,6,3,14,1825
Tentacruel,36.5,166,209,190,9,2,8,2122
Shuppet,2.5,138,65,127,11,14,2,55
Delcatty,23.5,132,127,172,11,3,12,927
Magcargo,12.5,139,191,137,8,1,14,558
Solrock,13.5,178,153,207,13,12,12,874
Snorlax,27.5,190,169,330,10,7,3,2376
Seadra,13.5,187,156,146,2,11,8,730
Cherrim,36.5,170,153,172,9,10,0,1778
Koffing,3.5,119,141,120,5,0,13,95
Yanmega,29.5,231,156,200,13,11,10,2405
Omastar,15.0,207,201,172,4,13,6,1102
Magnezone,32.0,238,205,172,2,6,8,2587
Drapion,30.5,180,202,172,3,9,8,1925
Turtwig,10.0,119,110,146,11,14,9,321
Ludicolo,14.5,173,176,190,9,6,4,884
Venonat,35.0,100,100,155,12,11,10,879
Muk,13.0,190,172,233,12,7,3,963
Squirtle,26.0,94,121,127,3,1,12,586
Gligar,33.0,143,184,163,13,12,12,1624
Marshtomp,23.5,156,133,172,2,2,7,1030
Pupitar,26.5,155,133,172,15,12,3,1280
Smoochum,22.0,153,91,128,2,5,5,687
Drowzee,26.5,89,136,155,4,9,10,680
Mime,31.0,125,142,85,13,6,11,895
Gulpin,5.0,80,99,172,11,0,5,101
Chimecho,38.5,175,170,181,14,3,3,2060
Groudon,8.0,270,228,205,14,0,4,872
Raikou,28.0,241,195,207,8,13,4,2606
Kangaskhan,7.0,181,165,233,9,7,10,473
Bellossom,7.5,169,186,181,8,8,12,449
Gallade,35.0,237,195,169,8,1,15,2698
Yanma,9.0,154,94,163,6,12,5,340
Cascoon,9.5,60,77,137,8,12,7,130
Jirachi,21.0,210,210,225,8,3,13,1839
Deoxys,42.0,414,46,137,13,5,12,2384
Bidoof,35.0,80,73,153,8,2,14,571
Sunkern,29.5,55,55,102,3,3,9,245
Mewtwo,23.0,300,182,214,11,14,15,2704
Noctowl,17.5,145,156,225,14,5,5,955
Deoxys,37.5,230,218,137,3,11,9,2565
Slowbro,2.5,177,180,216,6,2,12,138
Xatu,2.0,192,146,163,10,3,11,90
Flaaffy,22.5,145,109,172,15,6,15,942
Heracross,42.0,234,179,190,7,1,6,2899
Rhydon,39.0,222,171,233,2,13,13,2934
Kirlia,8.0,117,90,116,8,9,8,195
Drifblim,33.0,180,102,312,4,2,1,1866
Marowak,25.0,144,186,155,12,1,8,1215
Cherubi,15.0,108,92,128,3,10,4,344
Blissey,29.0,129,169,496,5,3,1,2027
Alolan,38.0,211,198,190,14,3,5,2702
Shedinja,30.5,153,73,1,15,13,8,252
Wigglytuff,43.0,156,90,295,8,15,3,1881
Unown,18.0,136,91,134,14,8,7,569
Latios,31.5,268,212,190,10,5,14,3209
Prinplup,33.5,150,139,162,6,0,7,1354
Stantler,23.5,192,131,177,9,4,5,1321
Alolan,7.5,170,193,177,10,3,10,452
Bulbasaur,29.0,118,111,128,14,15,3,877
Chikorita,13.5,92,122,128,7,1,1,300
Slugma,31.5,118,71,120,8,5,11,689
Armaldo,13.5,222,174,181,8,3,3,1000
Alolan,15.5,190,172,233,8,10,0,1127
Slakoth,27.5,104,92,155,5,15,10,710
Sneasel,43.0,189,146,146,8,5,7,1941
Horsea,41.0,129,103,102,11,15,14,1036
Croconaw,35.0,150,142,163,0,15,15,1454
Horsea,35.0,129,103,102,2,5,6,820
Lapras,33.5,165,174,277,6,14,4,2226
Tropius,22.0,136,163,223,14,6,13,1176
Victreebel,3.0,207,135,190,9,5,5,166
Snorlax,35.0,190,169,330,1,7,5,2689
Aggron,16.5,198,257,172,12,6,15,1371
Kadabra,34.5,232,117,120,11,1,0,1664
Golduck,24.0,191,162,190,1,7,10,1511
Seedot,28.0,71,77,120,5,15,15,423
Zangoose,17.0,222,124,177,5,1,12,1058
Swalot,17.5,140,159,225,2,13,0,872
Alolan,21.0,190,172,233,9,15,15,1605
Muk,16.0,190,172,233,15,4,0,1185
Bayleef,27.0,122,155,155,13,2,15,1062
Sneasel,33.0,189,146,146,3,13,8,1688
Clamperl,3.5,133,135,111,11,10,14,108
Mamoswine,39.5,247,146,242,13,14,2,3185
Lumineon,1.0,142,170,170,7,13,9,23
Pelipper,31.0,175,174,155,4,12,5,1680
Illumise,35.0,143,166,163,4,8,0,1435
Rhyhorn,2.0,140,127,190,14,9,5,69
Ambipom,14.5,205,143,181,1,4,12,897
Rampardos,25.5,295,109,219,7,3,9,2196
Weepinbell,41.0,172,92,163,12,10,8,1537
Ninetales,28.0,169,190,177,14,5,3,1713
Shieldon,39.5,76,195,102,15,9,7,841
Grotle,36.5,157,143,181,0,14,0,1570
Omastar,33.5,207,201,172,5,0,15,2328
Seedot,13.5,71,77,120,0,2,3,168
Muk,34.5,190,172,233,15,11,5,2462
Alolan,15.0,99,78,120,2,14,0,284
Wartortle,23.5,126,155,153,2,7,1,847
Palkia,9.5,280,215,188,7,15,13,1043
Xatu,8.0,192,146,163,4,7,13,452
